id_evidencia,proyecto_origen,tipo_evidencia,ruta_relativa,descripcion,uso_en_demo,es_sintetica
EVD-0001,01-generador-empresa-sintetica,empresa_json,datos_ejemplo/empresa_sintetica_demo/empresa_sintetica.json,Ficha general de la empresa sintética base.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0002,01-generador-empresa-sintetica,clientes_csv,datos_ejemplo/empresa_sintetica_demo/clientes.csv,Listado sintético de clientes para alimentar simulaciones.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0003,02-simulador-eventos-negocio,eventos_json,datos_ejemplo/eventos_negocio_demo/eventos_negocio.json,Eventos de negocio simulados de la semana.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0004,02-simulador-eventos-negocio,resumen_eventos,datos_ejemplo/eventos_negocio_demo/resumen_eventos.json,Resumen agregado de actividad de eventos.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0005,03-fabrica-documentos-sinteticos,indice_documentos,datos_ejemplo/documentos_sinteticos_demo/indice_documentos.json,Índice de documentos empresariales sintéticos.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0006,04-generador-escenarios-prueba-agentes,escenarios_json,datos_ejemplo/escenarios_prueba_agentes_demo/escenarios_prueba_agentes.json,Escenarios de evaluación futura de agentes simulados.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0007,05-motor-simulacion-crisis,crisis_json,datos_ejemplo/crisis_simuladas_demo/crisis_simuladas.json,Registro de crisis empresariales sintéticas.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0008,06-simulador-revision-humana,revisiones_json,datos_ejemplo/revision_humana_demo/revisiones_humanas.json,Revisiones humanas simuladas sobre artefactos.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0009,07-gemelo-digital-operativo-ligero,estado_operativo,datos_ejemplo/gemelo_digital_operativo_demo/estado_operativo.json,Estado operativo consolidado del gemelo digital sintético.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0010,08-laboratorio-privacidad-datos-sinteticos,riesgos_privacidad,datos_ejemplo/privacidad_datos_sinteticos_demo/riesgos_privacidad_simulados.json,Riesgos de privacidad simulados sobre datos sintéticos.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
EVD-0011,09-comparador-agente-proceso,comparaciones,datos_ejemplo/comparador_agente_proceso_demo/comparaciones_agente_proceso.json,Comparación simulada entre flujos manuales y asistidos.,Apoyo narrativo y técnico para explicar integración de proyectos 01 a 10.,True
