id_registro,id_revision,fecha_registro,decision,accion_posterior,resumen_trazabilidad,impacto_simulado,estado_registro
REG-000001,REV-000001,2026-05-09,aceptar,cerrar_revision,Registro derivado de origen=evento_negocio|id=EVT-000001|revision=REV-000001,bajo,pendiente
REG-000002,REV-000002,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000002|revision=REV-000002,bajo,escalado
REG-000003,REV-000003,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000003|revision=REV-000003,medio,escalado
REG-000004,REV-000004,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000004|revision=REV-000004,bajo,escalado
REG-000005,REV-000005,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000005|revision=REV-000005,bajo,escalado
REG-000006,REV-000006,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000006|revision=REV-000006,medio,escalado
REG-000007,REV-000007,2026-05-09,corregir,devolver_para_correccion,Registro derivado de origen=evento_negocio|id=EVT-000007|revision=REV-000007,medio,cerrado_simulado
REG-000008,REV-000008,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000008|revision=REV-000008,bajo,escalado
REG-000009,REV-000009,2026-05-09,aceptar,cerrar_revision,Registro derivado de origen=evento_negocio|id=EVT-000009|revision=REV-000009,bajo,pendiente
REG-000010,REV-000010,2026-05-09,solicitar_mas_informacion,mantener_observacion,Registro derivado de origen=evento_negocio|id=EVT-000010|revision=REV-000010,bajo,pendiente
REG-000011,REV-000011,2026-05-09,corregir,devolver_para_correccion,Registro derivado de origen=evento_negocio|id=EVT-000011|revision=REV-000011,alto,cerrado_simulado
REG-000012,REV-000012,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000012|revision=REV-000012,bajo,escalado
REG-000013,REV-000013,2026-05-09,solicitar_mas_informacion,mantener_observacion,Registro derivado de origen=evento_negocio|id=EVT-000013|revision=REV-000013,bajo,registrado
REG-000014,REV-000014,2026-05-09,escalar,enviar_a_revision_senior,Registro derivado de origen=evento_negocio|id=EVT-000014|revision=REV-000014,bajo,escalado
REG-000015,REV-000015,2026-05-09,bloquear_accion,bloquear_automatizacion,Registro derivado de origen=evento_negocio|id=EVT-000015|revision=REV-000015,alto,pendiente
REG-000016,REV-000016,2026-05-09,rechazar,abrir_incidencia,Registro derivado de origen=evento_negocio|id=EVT-000016|revision=REV-000016,bajo,pendiente
REG-000017,REV-000017,2026-05-09,bloquear_accion,bloquear_automatizacion,Registro derivado de origen=evento_negocio|id=EVT-000017|revision=REV-000017,medio,pendiente
REG-000018,REV-000018,2026-05-09,aceptar,cerrar_revision,Registro derivado de origen=evento_negocio|id=EVT-000018|revision=REV-000018,medio,pendiente
REG-000019,REV-000019,2026-05-09,rechazar,abrir_incidencia,Registro derivado de origen=evento_negocio|id=EVT-000019|revision=REV-000019,medio,pendiente
REG-000020,REV-000020,2026-05-09,solicitar_mas_informacion,mantener_observacion,Registro derivado de origen=evento_negocio|id=EVT-000020|revision=REV-000020,medio,pendiente
